season,venue,matches,cities
17,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2,1
17,"M Chinnaswamy Stadium, Bengaluru",7,1
17,"MA Chidambaram Stadium, Chepauk, Chennai",9,1
17,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",5,1
17,"Narendra Modi Stadium, Ahmedabad",8,1
17,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",6,1
17,"Sawai Mansingh Stadium, Jaipur",5,1
17,"Wankhede Stadium, Mumbai",7,1
18,"Arun Jaitley Stadium, Delhi",7,1
18,"Barsapara Cricket Stadium, Guwahati",2,1
18,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",8,1
18,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2,1
18,"Eden Gardens, Kolkata",7,1
18,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2,1
18,"M Chinnaswamy Stadium, Bengaluru",5,1
18,"MA Chidambaram Stadium, Chepauk, Chennai",6,1
18,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",5,2
18,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,1
18,"Narendra Modi Stadium, Ahmedabad",9,1
18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",6,1
18,"Sawai Mansingh Stadium, Jaipur",7,1
18,"Wankhede Stadium, Mumbai",7,1
